time,open,high,low,close
2023-07-12,22.0766,22.7289,21.779,21.9451
2023-07-13,21.9501,26.7222,21.4519,26.0174
2023-07-14,26.0174,31.9841,25.265,26.7108
2023-07-15,26.7108,29.0642,26.5891,27.4124
2023-07-16,27.4149,28.6153,26.5474,27.4137
2023-07-17,27.4087,28.4604,25.7325,26.8451
2023-07-18,26.8326,27.0788,24.7813,25.5587
2023-07-19,25.5587,27.1703,25.3798,26.3189
2023-07-20,26.3189,27.3481,25.0525,25.3706
2023-07-21,25.3681,25.9755,25.0797,25.5163
2023-07-22,25.5163,25.9475,24.0978,24.5243
2023-07-23,24.5218,25.2316,24.1713,24.7699
2023-07-24,24.7674,24.8157,22.8931,23.3623
2023-07-25,23.3623,23.9556,22.74,23.2943
2023-07-26,23.2968,25.6487,23.1988,25.1817
2023-07-27,25.1817,25.6201,24.6891,25.1076
2023-07-28,25.1076,25.4949,24.54,24.8154
2023-07-29,24.8188,25.3732,24.7526,25.1641
2023-07-30,25.1641,25.184,23.58,24.2524
2023-07-31,24.2499,24.7775,23.5711,23.7191
2023-08-01,23.7165,24.0312,22.8911,24.0312
2023-08-02,24.0312,24.2408,22.8755,23.1358
2023-08-03,23.1333,23.3658,22.4859,22.6341
2023-08-04,22.6391,23.5467,22.496,22.7892
2023-08-05,22.7892,22.9021,22.2262,22.6374
2023-08-06,22.6374,23.4501,22.58,23.1717
2023-08-07,23.1692,23.615,22.3444,23.095
2023-08-08,23.0925,24.735,23.0233,24.2023
2023-08-09,24.1973,24.9675,24.1409,24.3754
