time,open,high,low,close,Plot,Plot
2014-12-08,376.29,378.34,362.11,362.11,375.54333333333244,1
2014-12-09,362.1,363.91,343,351.99,373.93933333333246,1
2014-12-10,352,352.5,345,345.08,371.80999999999915,1
2014-12-11,345.12,362.99,335.7,348.53,370.3793333333324,1
2014-12-12,348.06,354.9,346.11,352.29,369.1986666666657,1
2014-12-13,352.49,352.49,344.11,346.56,367.1406666666657,1
2014-12-14,346.56,358,345.04,353.65,365.63199999999904,1
2014-12-15,353.7,354.6,345.45,346.01,363.37333333333237,1
2014-12-16,346.34,346.93,325.1,325.1,359.5799999999991,1
2014-12-17,325.13,335,314.21,318.86,355.20399999999904,1
2014-12-18,319.5,325,302.32,311.77,350.92199999999906,1
2014-12-19,311.76,319.97,305.6,318.47,347.42066666666574,1
2014-12-20,318.47,330,315.3,329.66,344.18599999999907,1
2014-12-21,329.69,329.73,316.85,320.79,340.45933333333244,1
2014-12-22,321.19,336.85,319.64,332.63,337.5666666666658,1
2014-12-23,332.41,337.79,330,335.7,335.8059999999991,1
2014-12-24,335.69,335.93,320,322.61,333.8473333333325,1
2014-12-25,322.62,323.4,315.5,318.5,332.0753333333325,1
2014-12-26,318.49,332.4,316.17,327.2,330.6533333333325,1
2014-12-27,327.79,330.6,310,315.89,328.2266666666658,1
2014-12-28,315.9,319.79,310.08,316.94,326.2519999999991,1
2014-12-29,316.96,320.5,312.51,312.64,323.5179999999991,1
2014-12-30,312.86,315.93,307.1,310.8,321.1706666666658,1
2014-12-31,310.81,322.79,309.39,322.3,320.9839999999991,1
2015-01-01,322.31,322.9,313.81,314.96,320.7239999999991,1
2015-01-02,314.54,316.74,313.28,315.81,320.9933333333324,1
2015-01-03,315.8,315.99,277.5,278.22,318.3099999999991,1
2015-01-04,278.04,288.74,255.03,264.19,313.9453333333324,1
2015-01-05,264.04,280.44,263.75,274.84,310.8819999999991,1
2015-01-06,274.85,291.94,272.1,288.43,307.9353333333324,1
2015-01-07,288.36,303.33,284,297.99,305.4213333333324,1
2015-01-08,297.89,298.47,282.01,283.21,302.79466666666576,1
2015-01-09,283.99,297.32,280.4,290.51,300.9286666666658,1
2015-01-10,290.58,292.1,275,276.03,297.5173333333324,1
2015-01-11,276.01,282.86,265.83,267.27,294.27599999999904,1
2015-01-12,267.54,274.44,266.24,268.75,291.06333333333237,1
2015-01-13,268.6,269.66,219,228.07,285.4253333333324,1
2015-01-14,228.49,228.49,166.45,182,276.8386666666657,1
2015-01-15,181,230.74,179.05,209.81,269.3393333333324,1
2015-01-16,209.81,223.1,197.72,208.5,262.241999999999,1
2015-01-17,208.52,214,192.2,201.09,254.593999999999,1
2015-01-18,201.08,222,194,211.03,250.1146666666656,1
2015-01-19,210.98,219.95,207,216.2,246.91533333333228,1
2015-01-20,216.14,219.25,203.7,212.11,242.7333333333323,1
